frozen		ADJECTIVE	If a person, or a part of their body is frozen, they are very cold.
fruit	bear fruit	NOUN; PHRASE	If something that someone does bears fruit, it produces successful results.
fulfilling		ADJECTIVE	If something is fulfilling, it satisfies you and makes you happy.
full		ADJECTIVE	If a container or a space is full, it contains as many things or people as possible, or as much of something as possible.
furnished		ADJECTIVE	If a room or building is furnished, there is furniture in it.
future	for/in the foreseeable future	NOUN; PHRASE	as far in the future as you can imagine
game		NOUN	a particular competition, match or occasion when people play a game
gasp		NOUN	the noise that someone makes when they gasp
gentle		ADJECTIVE	A gentle slope or climb is not steep.
genuine		ADJECTIVE	If something is genuine, it is really what it seems to be.
genuine		ADJECTIVE	If a person or their feelings are genuine, they are sincere and honest.
gerund		NOUN	A gerund is a noun made from the form of a verb that ends with -ing, for example 'fishing' in 'John loves fishing.'
gifted		ADJECTIVE	A gifted person has a natural ability or is extremely intelligent.
glance	at a glance	NOUN; PHRASE	If you see something at a glance, you see it very quickly or immediately.
glass		NOUN	a container made of glass that is used for drinking
glue		VERB	to stick something to something else with glue
go	go running/swimming, etc.	VERB; PHRASE	to go somewhere to do a particular activity
go		VERB	If two things go, they match each other.
go	go hand in hand	VERB; PHRASE	If two things go hand in hand, they exist together and are connected with each other.
go	to go	VERB; PHRASE	If there is a particular amount of time to go, that time remains.
gold		ADJECTIVE	made of gold
gold		ADJECTIVE	being the bright yellow colour of gold
good		ADJECTIVE	A good child or animal behaves well.
good	it's a good thing	ADJECTIVE; PHRASE	If it's a good thing that something happened, it is lucky or fortunate that it happened.
good	Good for you!	ADJECTIVE; PHRASE	used to show approval for someone's success or good luck
good	it's a good job	ADJECTIVE; PHRASE	If it is a good job that something happened, it is lucky that it happened.
good-looking		ADJECTIVE	If someone is good-looking, they have an attractive face.
Google		VERB	to search for something on the Internet using the Google search engine
grain	go against the grain	NOUN; PHRASE	If something goes against the grain, you would not normally do it because it would be unusual or morally wrong.
grim		ADJECTIVE	A grim place is ugly and unpleasant.
gripping		ADJECTIVE	If something is gripping, it is so interesting that it holds your attention completely.
gross		ADJECTIVE	A gross amount of money has not had taxes or other costs taken from it.
group		VERB	to form a group or put people or things into a group or groups
grow		VERB	If a plant grows, or you grow it, it develops from a seed to a full plant.
grow		VERB	If your hair or nails grow, or if you grow them, they get longer.
grown-up		ADJECTIVE	If you say that someone is grown-up, you mean that they are an adult or that they behave in a responsible way.
guess	an educated guess	NOUN; PHRASE	a guess that is probably correct because you have enough knowledge about something
hand	hand in hand	NOUN; PHRASE	holding each other's hand
hand	go hand in hand	NOUN; PHRASE	If two things go hand in hand, they exist together and are connected with each other.
handsome		ADJECTIVE	A handsome man is attractive.
have		VERB	If you have a particular illness, you suffer from it.
have	have sth stolen/taken, etc.	VERB; PHRASE	If you have something stolen/taken, etc. someone takes something that belongs to you.
